ievnt channel counts aquisition_time rate
0 1 9398 300 31.326666
1 1 9419 300 31.396667
2 1 9189 300 30.629999
3 1 9414 300 31.379999
4 1 9339 300 31.129999
5 1 9449 300 31.496666
6 1 9457 300 31.523333
7 1 9408 300 31.360001
8 1 9394 300 31.313334
9 1 9470 300 31.566668
